0, 1
41.95618(351.4, 20.1, 2.4)
42.45624(350.7, 18.6, 3.7)
42.96667(350.4, 17.7, 3.5)
43.47729(350.2, 18.7, 2.4)
43.97784(350.0, 18.6, 4.5)
44.48834(349.5, 18.6, 4.5)
44.98883(349.4, 20.0, 3.4)
45.49939(350.9, 22.3, 2.9)
46.00964(354.0, 24.5, 5.2)
46.5097(355.9, 22.9, 3.3)
47.02063(356.9, 5.7, 7.0)
47.52075(356.4, 2.4, 2.9)
48.03149(356.2, 3.3, 4.6)
48.54181(355.4, 10.2, 2.5)
49.0528(2.1, 15.5, 4.3)
49.56366(1.4, 13.8, 3.1)
50.07458(3.8, 10.2, 5.2)
50.58551(4.7, 3.8, 2.0)
51.09613(357.4, 3.8, 1.8)
51.59662(349.7, 10.0, 359.1)
52.10718(348.0, 15.8, 358.3)
52.60724(348.2, 19.1, 358.0)
53.11761(354.7, 15.6, 0.5)
53.62866(352.0, 16.8, 0.6)
54.13953(350.2, 18.4, 357.8)
54.63995(358.4, 17.4, 2.1)
55.1496(355.1, 20.7, 0.7)
55.64972(349.8, 26.2, 355.2)
56.16058(352.4, 25.2, 355.9)
56.67151(353.6, 25.7, 358.1)
57.18207(359.0, 23.2, 359.1)
57.69299(351.9, 25.6, 358.6)
58.20404(355.0, 25.1, 359.0)
58.71454(354.9, 27.6, 359.9)
59.22485(352.8, 29.1, 358.5)
59.72577(351.6, 32.2, 0.1)
60.23596(346.6, 61.8, 359.1)
60.73682(354.1, 57.1, 2.0)
61.24756(352.4, 45.5, 359.5)
61.75812(0.1, 353.9, 2.2)
62.25848(357.9, 347.8, 2.4)
62.76862(354.9, 351.9, 5.3)
